[2026-06-01 10:13:46] === Sniffer Started ===
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42868
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42868 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42868
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42868
[2026-06-01 10:16:32] TCP  | 192.168.146.128:42868 --> 146.75.89.91:443
[2026-06-01 10:16:32] TCP  | 192.168.146.128:42868 --> 146.75.89.91:443
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42868
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42868
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:32] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42868
[2026-06-01 10:16:32] TCP  | 192.168.146.128:42868 --> 146.75.89.91:443
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:32] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:32] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:32] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:32] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:32] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:32] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:32] UDP  | 192.168.146.2:53 --> 192.168.146.128:52132
[2026-06-01 10:16:32] UDP  | 192.168.146.2:53 --> 192.168.146.128:44059
[2026-06-01 10:16:32] TCP  | 192.168.146.128:48114 --> 104.21.91.215:443
[2026-06-01 10:16:32] TCP  | 192.168.146.128:48124 --> 104.21.91.215:443
[2026-06-01 10:16:32] TCP  | 192.168.146.128:48140 --> 104.21.91.215:443
[2026-06-01 10:16:32] TCP  | 192.168.146.128:48156 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:33] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48114
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48114 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48114 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48114
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48124
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48124 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48140
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48140 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48156
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48156 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48114
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48156 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48140 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48124 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48156
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48156
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48140
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48140
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48124
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48124
[2026-06-01 10:16:33] UDP  | 192.168.146.128:51561 --> 192.168.146.2:53
[2026-06-01 10:16:33] UDP  | 192.168.146.128:51561 --> 192.168.146.2:53
[2026-06-01 10:16:33] UDP  | 192.168.146.2:53 --> 192.168.146.128:51561
[2026-06-01 10:16:33] UDP  | 192.168.146.2:53 --> 192.168.146.128:51561
[2026-06-01 10:16:33] TCP  | 192.168.146.128:38228 --> 34.160.144.191:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48114
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48114 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48114
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48114 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48114
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48114 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 34.160.144.191:443 --> 192.168.146.128:38228
[2026-06-01 10:16:33] TCP  | 192.168.146.128:38228 --> 34.160.144.191:443
[2026-06-01 10:16:33] TCP  | 192.168.146.128:38228 --> 34.160.144.191:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48124
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48124 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48124
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48124 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48124
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48124 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48140
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48140 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48140
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48140 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48140
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48140 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48156
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48156 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48156
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48156 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48156
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48156 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 34.160.144.191:443 --> 192.168.146.128:38228
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48156 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48114 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48140 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48124 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48114 --> 104.21.91.215:443
